iter	Passed	Remaining
0	139	69372
1	149	37112
2	159	26361
3	169	21017
4	179	17775
5	190	15675
6	200	14113
7	210	12956
8	220	12035
9	230	11290
10	240	10672
11	250	10187
12	259	9716
13	269	9362
14	280	9057
15	291	8812
16	302	8599
17	312	8363
18	321	8149
19	331	7957
20	341	7783
21	350	7618
22	360	7470
23	370	7345
24	380	7220
25	390	7110
26	399	7003
27	409	6894
28	418	6796
29	427	6696
30	437	6611
31	446	6527
32	459	6498
33	469	6430
34	479	6364
35	488	6296
36	498	6232
37	507	6171
38	516	6110
39	526	6059
40	536	6005
41	545	5951
42	555	5902
43	565	5855
44	574	5810
45	584	5766
46	593	5722
47	603	5679
48	612	5634
49	621	5593
50	631	5556
51	640	5517
52	650	5482
53	659	5444
54	668	5411
55	678	5380
56	686	5335
57	696	5304
58	705	5269
59	714	5238
60	723	5205
61	732	5173
62	741	5144
63	750	5116
64	760	5090
65	770	5064
66	777	5025
67	787	5000
68	796	4974
69	805	4948
70	815	4927
71	824	4902
72	833	4876
73	843	4854
74	852	4831
75	862	4810
76	871	4788
77	880	4762
78	889	4741
79	899	4719
80	908	4700
81	917	4678
82	927	4660
83	937	4644
84	947	4628
85	957	4608
86	966	4590
87	976	4571
88	985	4552
89	995	4534
90	1005	4517
91	1014	4498
92	1023	4477
93	1032	4459
94	1041	4441
95	1051	4423
96	1060	4406
97	1070	4389
98	1079	4372
99	1088	4355
100	1098	4338
101	1107	4322
102	1117	4306
103	1126	4290
104	1136	4273
105	1145	4257
106	1155	4244
107	1165	4229
108	1174	4214
109	1184	4200
110	1194	4185
111	1203	4169
112	1213	4155
113	1222	4140
114	1233	4128
115	1243	4115
116	1253	4102
117	1264	4092
118	1272	4073
119	1282	4060
120	1292	4046
121	1301	4032
122	1311	4019
123	1321	4008
124	1331	3995
125	1342	3983
126	1352	3971
127	1362	3959
128	1372	3946
129	1382	3935
130	1392	3921
131	1402	3909
132	1412	3896
133	1421	3883
134	1431	3870
135	1441	3857
136	1452	3848
137	1462	3837
138	1473	3827
139	1483	3814
140	1493	3802
141	1502	3787
142	1512	3775
143	1522	3762
144	1531	3749
145	1541	3737
146	1551	3725
147	1562	3715
148	1572	3705
149	1583	3694
150	1593	3682
151	1603	3670
